Country,Date,Time,Year,Site,Cluster,Plot,Latitude,Longitude,Altitude,Accuracy,Photo,SlopeDn,SlopeUp,AvSlope,MajLform,LformDes,PosTopoSeq,PlotCultMgd,Trees,Shrubs,LandOwnership,SEVEREEROS,SWCDescr,AvShrubDensity,AvTreeDensity,VegStructure,ImpactTreeCutting,ImpactAgric,ImpactGrazing,ImpactFire,ImpactUrban,ImpactIndustry,ImpactErosion,ImpactAlienVeg,ImpactCollecting,ImpactOther,fym,freq,fert,fallow,Brnt,KEY,notes1,notes2,LDSFID,LandUse,Crop,Age,Rotation,Intercrping,BrntFreq,FallowYrs
Kenya,3-May-19,11:17:00 AM,2019,Chasimba,2,1,-3.75973,39.6516,219.3,5,media/1556871479270.jpg,3,4,3.5,sloping,low_gradient_hill,ridge_crest,yes,yes,no,communal,0,none,0,100,cropland,1,3,2,0,0,0,1,1,1,0,no,,no,no,no,uuid:6b214d99-ed1a-4714-84bc-5bc81b282894,Cumass 50 cm,Kcep farmer,,annual_agroforestry,"Maize, cassava, cowpeas, green grams",100,no,yes,,
Kenya,3-May-19,12:45:00 PM,2019,Chasimba,2,2,-3.75864,39.6469,187.3,5,media/1556876761770.jpg,5,8,6.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,25,75,cropland,0,3,1,0,0,0,2,2,0,0,yes,,yes,no,no,uuid:90d21601-40b4-4d7e-b919-0207c68f4b3f,Cumass 50 cm,Kcep farmer,,annual_agroforestry,"Cassava, maize, cowpeas, green grams, Cocos nucifera",100,no,yes,,
Kenya,3-May-19,8:38:00 AM,2019,Chasimba,2,3,-3.76392,39.65,210.9,5,media/1556862589721.jpg,7,6,6.5,sloping,medium_gradient_hill,ridge_crest,yes,yes,no,private,0,none,0,75,cropland,0,3,1,0,0,0,1,1,0,0,yes,,no,no,no,uuid:83744236-fa23-423a-b3f9-9c50f8c9f146,"Cumass 80 cm,infiltration",Kcep farmer,,annual_agroforestry,"Maize, cassava, pojo,",80,no,yes,,
Kenya,3-May-19,4:57:00 PM,2019,Chasimba,2,4,-3.76624,39.65,213.3,5,media/1556890344283.jpg,4,3,3.5,sloping,low_gradient_hill,midslope,yes,yes,yes,private,0,none,0,100,cropland,0,3,1,0,0,0,1,2,0,0,no,,yes,no,no,uuid:96b2ba16-47ae-498e-9982-b078d22db89e,Cumass 80 cm,Kcep farmer,,annual_agroforestry,"Cocos nucifera, maize, green grams, cassava",100,no,yes,,
Kenya,3-May-19,3:25:00 PM,2019,Chasimba,2,5,-3.76722,39.6526,219.8,5,media/1556886348194.jpg,1,1,1,sloping,ridges,ridge_crest,yes,yes,yes,private,0,none,25,0,cropland,1,3,1,1,0,0,0,1,0,0,no,,no,yes,yes,uuid:520b8042-a063-439e-a374-9c0f4cc4df68,Cumass 50 cm,"Fallow 1 year,
Burn when preparing land.
Kcep farmer.",,annual_agroforestry,"Maize, cassava, green grams, cowpeas, Cocos nucifera",100,no,no,When preparation of ploughing is near.,1
Kenya,3-May-19,2:28:00 PM,2019,Chasimba,2,6,-3.76707,39.6479,218.7,5,media/1556882961846.jpg,10,11,10.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,25,150,cropland,0,3,1,0,0,0,2,2,0,0,no,,no,no,no,uuid:d852179d-fb7a-41b7-b16a-9d7d3a58f5a2,Cumass 50 cm,Farmer not in kcep,,annual_agroforestry,"Maize, cowpeas, Cocos nucifera, cassava",100,no,yes,,
Kenya,3-May-19,9:20:00 AM,2019,Chasimba,2,7,-3.76384,39.6498,210,5,media/1556864491104.jpg,9,10,9.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,0,none,200,100,bushland,0,3,1,0,0,0,1,2,0,0,no,,yes,no,no,uuid:a66b17ed-ed2e-490a-989a-bf67c52add9b,Cumass 50 cm,Kcep farmer,,annual_agroforestry,"Maize, cassava,Cocos nucifera, mango",100,no,yes,,
Kenya,3-May-19,10:16:00 AM,2019,Chasimba,2,8,-3.76143,39.6494,209.6,5,media/1556867807064.jpg,11,12,11.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,0,75,cropland,0,3,1,0,0,0,3,2,0,0,no,,yes,no,no,uuid:c28e2568-b86c-4776-9321-f151e6189011,"Cumass 50 cm,infiltration","Use ox plough,
Kcep farmer",,annual_agroforestry,"Maize, cassava, pojo,ground nuts,Cocos nucifera",100,no,yes,,
Kenya,3-May-19,11:47:00 AM,2019,Chasimba,2,9,-3.75898,39.6506,209.3,5,media/1556873316676.jpg,16,15,15.5,sloping,medium_gradient_hill,ridge_crest,no,yes,yes,private,1,none,325,50,grassland,1,1,0,1,0,0,1,0,1,0,no,,no,yes,yes,uuid:7a9fc35d-2663-43c0-8ced-18f7edcc3587,"Cumass 110 cm,infiltration",Fallow 1 year.,,fallow,"Maize, cassava, cowpeas",80,no,no,When preparing land for ploughing,1
Kenya,3-May-19,3:57:00 PM,2019,Chasimba,2,10,-3.7665,39.6541,200,5,media/1556888266166.jpg,6,11,8.5,sloping,valley,footslope,no,yes,yes,private,1,none,75,150,wooded_grassland,0,3,2,0,0,0,2,2,0,0,no,,no,yes,no,uuid:2c8aa62d-40dd-49be-90e0-7510b5767113,Cumass 80 cm,"Fallow 2 years.
Kcep farmer",,fallow,"Maize, cowpeas, Cocos nucifera, cassava",100,no,no,,2
Kenya,4-May-19,11:34:00 AM,2019,Chasimba,3,1,-3.74006,39.6538,149.7,5,media/1556958926967.jpg,13,12,12.5,sloping,medium_gradient_hill,midslope,no,yes,yes,private,1,none,175,25,grassland,0,2,2,0,0,0,3,1,1,0,no,,no,yes,no,uuid:88390439-3e87-402b-abc1-1e3754964bf8,"Fallow 2 years.
Not kcep farmer","Fallow 2 years.
Not kcep farmer",,fallow,"Maize, cassava, cowpeas",100,no,no,,2
Kenya,4-May-19,3:07:00 PM,2019,Chasimba,3,2,-3.74272,39.6517,177,5,media/1556971232853.jpg,11,12,11.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,0,150,wooded_grassland,0,3,0,0,0,0,3,3,0,0,no,,no,no,no,uuid:1a7f2b53-3fc4-49ad-a269-4cb1082b9999,Cumass 48 cm,"Agroforestry practiced.
Not kcep farmer",,annual_agroforestry,"Maize, cassava, cowpeas",100,no,yes,,
Kenya,4-May-19,3:54:00 PM,2019,Chasimba,3,3,-3.74738,39.6549,197.2,5,media/1556973650992.jpg,4,4,4,sloping,medium_gradient_hill,ridge_crest,yes,yes,yes,private,0,none,150,0,cropland,0,3,1,0,0,0,1,1,0,0,no,,no,no,no,uuid:f5256ccb-f223-4b0e-a541-f3abc6dd9943,Cumass 100 cm,Not kcep farmer,,annual_crop,"Maize, cowpeas, cassava, Cocos nucifera",100,no,yes,,
Kenya,4-May-19,12:00:00 PM,2019,Chasimba,3,4,-3.7419,39.6535,154.7,5,media/1556960432921.jpg,11,17,14,sloping,medium_gradient_hill,midslope,no,no,yes,private,1,none,50,0,grassland,0,2,2,0,0,0,3,0,0,0,no,,no,yes,no,uuid:cde358dd-507b-444f-8abd-61cb0725554b,"Fallow 3 years.
Not kcep farmer","Fallow for 3 years.
Not kcep farmer",,fallow,"Cassava, maize,cowpeas",100,no,no,,3
Kenya,4-May-19,10:13:00 AM,2019,Chasimba,3,5,-3.73831,39.647,126.5,5,media/1556954019687.jpg,12,10,11,sloping,medium_gradient_hill,bottomland,yes,yes,yes,private,1,none,0,25,cropland,0,3,1,0,0,0,3,0,0,0,no,,no,no,no,uuid:28635bcc-2a39-4807-acfa-779cb9debef7,"Cumass 43 cm,infiltration",Not kcep farmer,,annual_agroforestry,"Maize, cassava, green grams, cowpeas",70,no,yes,,
Kenya,4-May-19,4:58:00 PM,2019,Chasimba,3,6,-3.73748,39.6563,142.4,5,media/1556975570209.jpg,9,5,7,sloping,medium_gradient_hill,midslope,yes,no,yes,private,1,none,125,0,cropland,0,3,1,0,0,0,3,0,0,0,no,,no,no,no,uuid:a28f9be7-0923-4c95-a8a2-5998abddc627,Cumass 40 cm,Not kcep farmer,,annual_crop,"Cowpeas, cassava, maize",100,no,yes,,
Kenya,4-May-19,1:25:00 PM,2019,Chasimba,3,7,-3.74467,39.648,133.8,5,media/1556965595757.jpg,6,10,8,sloping,valley,bottomland,no,yes,yes,private,1,none,50,0,bushland,0,3,1,0,0,0,3,1,0,0,no,,no,yes,no,uuid:04388650-0870-4794-a921-5dac243830f1,"Cumass 50 cm,infiltration","Fallow 5 years.
Not kcep farmer",,fallow,"Maize, cassava, cowpeas, Cocos nucifera",,no,no,,5
Kenya,4-May-19,8:21:00 AM,2019,Chasimba,3,8,-3.73863,39.6506,187.1,5,media/1556951650227.jpg,11,17,14,sloping,medium_gradient_hill,ridge_crest,yes,yes,yes,private,1,none,125,25,shrubland,0,3,1,0,0,0,3,0,0,0,no,,no,no,no,uuid:fad4066c-6f11-4c3d-a073-446f310b719e,"Cumass 40 cm, infiltration",Not kcep farmer,,annual_crop,"Maize, cassava, cowpeas, green grams",70,no,yes,,
Kenya,4-May-19,2:12:00 PM,2019,Chasimba,3,9,-3.74601,39.6481,145.3,5,media/1556968458568.jpg,14,14,14,sloping,valley,bottomland,no,no,yes,private,1,none,0,0,bushland,0,3,2,0,0,0,3,0,0,0,yes,,no,yes,no,uuid:1940b596-c3fd-48ff-bf2f-ae89fffd50b2,,"Fallow 3 years.
Not kcep farmer",,fallow,"Maize, cowpeas, cassava",100,no,no,,3
Kenya,4-May-19,2:39:00 PM,2019,Chasimba,3,10,-3.74361,39.6495,159.8,5,media/1556969532954.jpg,10,11,10.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,50,25,cropland,0,3,1,0,0,0,3,1,0,0,no,,no,no,no,uuid:5c02038a-9414-4124-b09f-1fada23cce54,Cumass 110 cm,Not kcep farmer,,annual_crop,"Maize, cassava, cowpeas",100,no,yes,,
Kenya,5-May-19,8:46:00 AM,2019,Chasimba,4,1,-3.72367,39.6523,98.9,5,media/1557035216701.jpg,21,18,19.5,steep,high_gradient_hill,midslope,no,yes,yes,private,1,none,625,25,bushland,0,0,3,0,0,0,3,0,1,0,,,,,,uuid:63853af2-bb38-40bc-9636-dbed4016605a,"Cumass 50 cm,infiltration",Not kcep farmer,,pasture_rangeland,,,,,,
Kenya,6-May-19,9:22:00 AM,2019,Chasimba,4,2,-3.72022,39.6463,205.6,4,media/1557123806676.jpg,4,6,5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,0,0,cropland,0,3,1,1,0,0,3,1,0,0,no,,no,no,no,uuid:c4832d85-50f3-47ff-ad30-00d9b24a715b,Cumass 50 cm,"Burn crop residue every year.
Not kcep farmer.",,annual_agroforestry,"Maize, cassava, cowpeas, green grams",100,no,yes,,
Kenya,6-May-19,8:36:00 AM,2019,Chasimba,4,3,-3.71514,39.647,203.7,5,media/1557121018042.jpg,7,6,6.5,sloping,medium_gradient_hill,ridge_crest,yes,yes,no,private,1,none,0,25,cropland,0,3,0,0,0,0,3,1,0,0,no,,no,no,no,uuid:2ce817b4-1ec0-4891-b3c8-215c35324098,"Cumass 80 cm,infiltration","Burn crop residue every year.
Not kcep farmer.",,annual_agroforestry,"Maize, cassava, green grams, beans, cowpeas",90,no,yes,,
Kenya,6-May-19,11:02:00 AM,2019,Chasimba,4,4,-3.7215,39.6494,178.6,5,media/1557129794396.jpg,7,9,8,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,225,0,shrubland,0,3,1,0,0,0,2,0,0,0,no,,no,no,no,uuid:9c1fb77f-539d-4527-8f61-35b952a2e558,Cumass 31 cm,Not kcep farmer,,annual_agroforestry,"Maize, cowpeas, green grams, maize, cassava",80,no,yes,,
Kenya,6-May-19,10:32:00 AM,2019,Chasimba,4,5,-3.72446,39.6462,160.1,5,media/1557128020723.jpg,11,15,13,sloping,medium_gradient_hill,midslope,yes,no,yes,private,1,none,0,0,cropland,0,3,0,0,0,0,3,0,0,0,no,,no,no,no,uuid:44001952-cddb-4743-88f1-a4a19a750a05,Cumass 35 cm,Not kcep farmer,,annual_crop,"Maize, cowpeas, beans, cassava",80,no,yes,,
Kenya,5-May-19,11:57:00 AM,2019,Chasimba,4,6,-3.72266,39.6522,98.3,5,media/1557046743927.jpg,16,17,16.5,steep,high_gradient_hill,footslope,yes,no,no,private,1,none,0,0,cropland,0,3,0,0,0,0,3,0,0,0,no,,no,no,no,uuid:81948f75-f42d-4938-a3c3-87e0d8b0bd0c,Cumass 50 cm,Not kcep farmer.,,annual_crop,"Maize, cassava, cowpeas",80,no,yes,,
Kenya,6-May-19,12:59:00 PM,2019,Chasimba,4,7,-3.71804,39.6513,178.6,5,media/1557133223231.jpg,9,9,9,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,50,0,cropland,0,3,0,0,0,0,3,0,0,0,no,,no,no,no,uuid:b3e9c46d-4de5-4ae5-b604-9a9c1c91c80d,Cumass 33 cm,"Fallow 1 year.
Not kcep farmer",,annual_agroforestry,"Maize, cassava, beans, millet,cowpeas",80,no,yes,,
Kenya,5-May-19,11:51:00 AM,2019,Chasimba,4,8,-3.72323,39.6515,112.5,5,media/1557045298281.jpg,19,20,19.5,steep,valley,footslope,no,no,yes,private,1,none,75,0,bushland,0,3,1,0,0,0,3,0,1,0,no,,no,yes,no,uuid:7d5df094-8224-41e6-a2ea-370df99ca587,"Cumass 22 cm,infiltration","Fallow 2 years.
Not kcep farmer",,fallow,"Maize, cowpeas, cassava",75,no,no,,2
Kenya,6-May-19,10:00:00 AM,2019,Chasimba,4,9,-3.72433,39.6452,176,5,media/1557126080955.jpg,9,9,9,sloping,valley,footslope,yes,yes,yes,private,1,none,200,0,shrubland,0,3,0,0,0,0,3,0,0,0,no,,no,no,no,uuid:41a4fbfc-6fc6-47a4-9255-53bd63ef33bc,Cumass 33 cm,Not kcep farmer,,annual_agroforestry,"Maize, cassava, cowpeas, green grams",85,no,yes,,
Kenya,6-May-19,11:25:00 AM,2019,Chasimba,4,10,-3.72132,39.6499,178.3,4,media/1557131167925.jpg,17,11,14,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,100,25,cropland,0,3,1,0,0,0,3,0,0,0,no,,no,no,no,uuid:4b7c9753-db2a-4971-834e-acbd691ff4c7,Cumass 39 cm,Not in kcep,,annual_agroforestry,"Maize, cowpeas, cassava, green grams",80,no,yes,,
Kenya,7-May-19,10:02:00 AM,2019,Chasimba,5,1,-3.78364,39.6771,190.3,5,media/1557212609516.jpg,7,8,7.5,sloping,medium_gradient_hill,midslope,no,yes,yes,private,1,none,475,0,shrubland,1,0,3,1,0,0,2,1,0,0,,,,,,uuid:9367343e-437e-43ed-9bc0-254aa5a7b6c4,"Cumass 110 cm,infiltration",Kcep farmer,,pasture_rangeland,,,,,,
Kenya,7-May-19,12:40:00 PM,2019,Chasimba,5,2,-3.78613,39.6701,158.9,5,media/1557222059142.jpg,4,5,4.5,sloping,valley,midslope,yes,yes,yes,private,1,none,75,125,cropland,0,3,1,0,0,0,3,2,0,0,no,,no,no,no,uuid:51c1498d-fe00-4e7c-b1b3-55b81c67e425,Cumass 110 cm,Kcep farmer,,annual_agroforestry,"Maize, cassava, cowpeas, green grams, Cocos nucifera, mangifera indica",108,no,yes,,
Kenya,7-May-19,1:18:00 PM,2019,Chasimba,5,3,-3.78757,39.6734,161.9,5,media/1557224300716.jpg,6,5,5.5,sloping,low_gradient_hill,midslope,yes,yes,yes,private,0,none,250,100,cropland,0,3,0,0,0,0,2,2,0,0,no,,yes,no,no,uuid:06977e79-5800-4a5f-aaa0-1fdc92703f33,Cumass 50 cm,Kcep farmer.,,annual_agroforestry,"Maize, cassava, cowpeas, Cocos nucifera, Anacardium occidentale",100,no,yes,,
Kenya,7-May-19,3:38:00 PM,2019,Chasimba,5,4,-3.79175,39.6747,136,5,media/1557232726919.jpg,5,4,4.5,sloping,valley,bottomland,yes,yes,yes,private,0,none,75,100,cropland,0,2,1,0,0,0,2,2,0,0,no,,no,yes,no,uuid:cc4722fe-8f75-4a8e-83dd-e61e5da58870,Cumass 50 cm,Kcep farmer,,annual_agroforestry,"Maize, cowpeas, Cocos nucifera, cassava",100,no,yes,,2
Kenya,7-May-19,4:37:00 PM,2019,Chasimba,5,5,-3.79029,39.6782,134.8,5,media/1557234647191.jpg,19,17,18,steep,high_gradient_hill,footslope,yes,yes,yes,private,1,none,0,0,cropland,0,3,0,1,0,0,2,1,0,0,no,,no,yes,yes,uuid:584fb496-acf0-45f2-bb90-3b87b2178556,Cumass 50 cm,"The land was fallow 10 years before this planting season.
Not kcep farmer.",,annual_agroforestry,"Maize, cassava, cowpeas, Cocos nucifera",100,no,no,During preparation of ploughing.,10
Kenya,7-May-19,9:19:00 AM,2019,Chasimba,5,6,-3.78386,39.6752,167.9,5,media/1557209997725.jpg,7,9,8,sloping,medium_gradient_hill,midslope,yes,yes,no,private,1,none,0,75,cropland,1,3,0,0,0,0,2,3,0,0,no,,no,no,no,uuid:58ca2f75-5c55-4ce4-9a57-860912e3d488,Cumass 80 cm,Not kcep farmer,,annual_agroforestry,"Maize, cassava, cowpeas, Cocos nucifera",100,no,yes,,
Kenya,7-May-19,12:07:00 PM,2019,Chasimba,5,7,-3.78503,39.6705,167.6,5,media/1557220087034.jpg,9,9,9,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,125,200,cropland,0,3,1,0,0,0,2,2,0,0,yes,,no,no,no,uuid:18a6c892-3565-488a-9a74-7aa2217b1be4,Cumass 110 cm,Kcep farmer,,annual_agroforestry,"Maize, cowpeas, cassava, Cocos nucifera",100,no,yes,,
Kenya,7-May-19,8:33:00 AM,2019,Chasimba,5,8,-3.78344,39.6755,183.6,6,media/1557207235041.jpg,8,8,8,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,0,none,325,825,cropland,1,3,0,0,0,0,1,3,1,0,no,,no,no,no,uuid:89914172-4fc0-476c-92b0-721d0552073c,"Cumass 100 cm,infiltration",Kcep farmer,,annual_agroforestry,"Maize, cassava, bananas, peas,Cocos nucifera",100,no,yes,,
Kenya,7-May-19,3:04:00 PM,2019,Chasimba,5,9,-3.79097,39.6692,173.4,5,media/1557230671119.jpg,11,15,13,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,50,25,cropland,1,3,0,1,0,0,2,1,0,0,no,,yes,no,yes,uuid:0fb72c1f-f0a5-4da8-b068-6662a501a440,Cumass 50 cm,"Burn when preparing land.
Not in kcep",,annual_agroforestry,"Maize, cassava, cowpeas,Cocos nucifera",100,no,yes,When preparing land,
Kenya,7-May-19,10:59:00 AM,2019,Chasimba,5,10,-3.78275,39.6716,167.6,5,media/1557215987078.jpg,6,7,6.5,sloping,medium_gradient_hill,footslope,yes,yes,no,private,1,none,0,50,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,cropland,"Cumass 100 cm,infiltration","Use fertilizer,
Kcep farmer",,annual_agroforestry,"Maize, cowpeas, cassava, Cocos nucifera",100,no,yes,,
Kenya,16-May-19,3:51:00 PM,2019,Chasimba,6,1,-3.7561,39.6701,175.5,5,media/1558011135048.jpg,8,8,8,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,0,none,0,0,cropland,0,3,0,0,0,0,2,1,0,0,no,,no,no,no,uuid:b98e353d-57e6-4c92-b5ed-68badd375e05,"Cumass 43 cm,infiltration",Not kcep farmer,,annual_agroforestry,"Maize, cowpeas, cassava",100,no,yes,,
Kenya,10-May-19,4:54:00 PM,2019,Chasimba,6,2,-3.75657,39.6788,234.6,4,media/1557496482915.jpg,5,5,5,sloping,medium_gradient_hill,midslope,yes,no,yes,private,1,none,0,0,cropland,0,3,0,0,0,0,2,1,0,0,no,,yes,no,no,uuid:5b60a33a-bd4c-44f8-95b5-7b546a40cb49,Cumass 110 cm,"Not in kcep.
Use local seed varieties.
Use tractor,
Use fertilizer",,annual_crop,"Maize, cowpeas, beans, cassava, Cocos nucifera",100,no,yes,,
Kenya,8-May-19,2:11:00 PM,2019,Chasimba,6,3,-3.764,39.6727,179.2,5,media/1557313927195.jpg,3,2,2.5,sloping,valley,midslope,yes,yes,yes,private,1,none,375,150,cropland,0,3,0,1,0,0,2,1,0,0,no,,no,yes,yes,uuid:d3048b89-ed02-4d4e-b8f9-b15ccc546241,Cumass 108 cm,"Practice fallow.
Not kcep farmer",,annual_agroforestry,"Maize, cowpeas, cassava, Cocos nucifera",100,no,no,Events time they practice fallow.,1
Kenya,8-May-19,1:42:00 PM,2019,Chasimba,6,4,-3.75958,39.6713,188.2,5,media/1557312183539.jpg,8,11,9.5,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,0,25,cropland,1,3,0,1,0,0,3,1,0,0,no,,no,yes,yes,uuid:b117a5ad-baef-45d4-a7e6-cc26fe28856d,Cumass 80 cm,"Not kcep farmer.
Burn every 2 years.
Practice fallow every 2 years",,annual_agroforestry,"Maize, cassava, green grams, cassava",100,no,no,2 years,2
Kenya,14-May-19,4:20:00 PM,2019,Chasimba,6,5,-3.7607,39.6756,236.2,5,media/1557840066108.jpg,25,38,31.5,steep,high_gradient_hill,midslope,no,yes,yes,private,0,none,200,50,bushland,0,2,1,0,0,0,2,0,0,0,,,,,,uuid:7bce091d-0426-4e61-be39-aecf6b3cc0cb,Cumass 80 cm,"Fallow 3 years.
Not kcep farmer",,fallow,,,,,,
Kenya,8-May-19,3:23:00 PM,2019,Chasimba,6,6,-3.76564,39.6764,230.7,5,media/1557318261628.jpg,18,19,18.5,steep,high_gradient_hill,midslope,no,yes,yes,private,0,none,975,100,bushland,0,0,1,0,0,0,0,0,0,0,,,,,,uuid:53983ae9-7039-4bcc-b0f0-ca1d98b8e1c5,Cumass 50 cm,"Fallow 10 years.
Not kcep farmer",,fallow,,,,,,
Kenya,8-May-19,10:05:00 AM,2019,Chasimba,6,8,-3.75631,39.6721,193.4,5,media/1557299130754.jpg,7,8,7.5,sloping,medium_gradient_hill,midslope,no,yes,yes,private,1,none,475,50,bushland,1,1,3,0,0,0,3,0,0,0,no,,no,yes,no,uuid:bc02c83c-4d38-41bf-88f5-53343fedb662,"Cumass 50 cm,infiltration","Fallow 4 years.
Plot 2 cleared ready for ploughing.
Not kcep farmer.",,fallow,"Maize, cowpeas, cassava",90,no,no,,4
